iter	Passed	Remaining
398	57879	87181
399	58010	87015
400	58129	86832
401	58263	86670
402	58397	86509
403	58538	86359
404	58728	86279
405	58896	86168
406	59107	86119
407	59283	86018
408	59431	85877
409	59600	85766
410	59745	85621
411	59886	85468
412	60004	85284
413	60168	85165
414	60311	85016
415	60488	84916
416	60616	84746
417	60757	84594
418	60873	84409
419	60995	84231
420	61098	84028
421	61232	83868
422	61361	83701
423	61476	83515
424	61613	83360
425	61774	83235
426	61905	83072
427	62033	82904
428	62185	82769
429	62319	82609
430	62455	82453
431	62598	82305
432	62727	82140
433	62894	82023
434	63017	81850
435	63150	81690
436	63284	81531
437	63428	81385
438	63566	81231
439	63699	81072
440	63837	80918
441	63959	80745
442	64092	80585
443	64232	80434
444	64371	80283
445	64522	80147
446	64681	80019
447	64809	79854
448	64953	79709
449	65094	79559
450	65222	79394
451	65345	79224
452	65479	79067
453	65612	78908
454	65758	78765
455	65892	78608
456	66039	78466
457	66170	78306
458	66299	78143
459	66441	77996
460	66559	77821
461	66705	77678
462	66817	77496
463	66951	77339
464	67102	77203
465	67218	77026
466	67342	76859
467	67479	76706
468	67619	76558
469	67744	76392
470	67878	76237
471	68006	76075
472	68142	75922
473	68295	75788
474	68440	75644
475	68566	75480
476	68689	75313
477	68815	75150
478	68947	74992
479	69080	74836
480	69214	74682
481	69345	74525
482	69486	74377
483	69604	74206
484	69732	74045
485	69864	73889
486	70000	73737
487	70127	73576
488	70274	73435
489	70397	73270
490	70543	73129
491	70669	72967
492	70826	72838
493	70976	72701
494	71104	72540
495	71204	72352
496	71327	72188
497	71487	72061
498	71622	71909
499	71764	71764
500	71891	71604
501	72012	71439
502	72151	71290
503	72269	71122
504	72418	70984
505	72545	70825
506	72661	70654
507	72754	70463
508	72896	70318
509	73038	70173
510	73176	70026
511	73314	69878
512	73440	69718
513	73596	69587
514	73741	69445
515	73866	69285
516	74011	69144
517	74148	68995
518	74287	68848
519	74412	68688
520	74564	68553
521	74712	68414
522	74847	68264
523	74989	68120
524	75116	67962
525	75254	67814
526	75392	67667
527	75532	67521
528	75678	67381
529	75808	67226
530	75963	67093
531	76100	66945
532	76249	66807
533	76386	66659
534	76532	66518
535	76659	66362
536	76834	66246
537	76957	66086
538	77093	65936
539	77239	65796
540	77380	65651
541	77499	65488
542	77635	65339
543	77804	65218
544	77927	65059
545	78056	64903
546	78181	64745
547	78323	64602
548	78459	64454
549	78573	64287
550	78713	64142
551	78859	64001
552	78995	63853
553	79133	63707
554	79255	63547
555	79379	63389
556	79543	63263
557	79662	63102
558	79802	62957
559	79934	62805
560	80075	62661
561	80218	62518
562	80360	62375
563	80492	62224
564	80671	62109
565	80848	61993
566	80996	61854
567	81125	61700
568	81241	61537
569	81385	61396
570	81578	61291
571	81717	61144
572	81845	60991
573	81957	60825
574	82086	60672
575	82213	60517
576	82354	60374
577	82501	60235
578	82628	60080
579	82766	59934
580	82898	59784
581	83052	59649
582	83161	59482
583	83313	59346
584	83430	59185
585	83561	59034
586	83704	58892
587	83839	58744
588	83971	58594
589	84137	58468
590	84274	58321
591	84414	58177
592	84533	58018
593	84728	57911
594	84871	57769
595	85025	57634
596	85165	57490
597	85312	57350
598	85456	57208
599	85598	57065
600	85747	56927
601	85887	56782
602	86013	56629
603	86139	56475
604	86254	56315
605	86385	56164
606	86519	56016
