iter	Logloss
0	0.5421545018
1	0.4513404223
2	0.3957133506
3	0.3553376522
4	0.3211250129
5	0.2984405373
6	0.278601752
7	0.2641366492
8	0.253679215
9	0.2444888449
10	0.2373939897
11	0.2313808475
12	0.2255926851
13	0.2208442094
14	0.2178838729
15	0.2149325149
16	0.2115116067
17	0.2090949108
18	0.2051862438
19	0.2024247948
20	0.2011274983
21	0.1998408104
22	0.1980762757
23	0.196724992
24	0.1949149275
25	0.1933022936
26	0.1911470013
27	0.1895710552
28	0.1884274269
29	0.1872326825
30	0.1855520813
31	0.1847081239
32	0.1834385572
33	0.1823384329
34	0.1809613935
35	0.1793126721
36	0.1786248109
37	0.1778953065
38	0.1768942661
39	0.1758513887
40	0.1749392168
41	0.1739645356
42	0.1736122467
43	0.1725764576
44	0.1717174375
45	0.1706605355
46	0.1697696485
47	0.169241557
48	0.1686892562
49	0.1680833907
50	0.1676675137
51	0.167135708
52	0.1666428233
53	0.1661891031
54	0.1651223527
55	0.1647355641
56	0.1641094533
57	0.1635806541
58	0.1632088494
59	0.1625462523
60	0.1622864582
61	0.1619022582
62	0.1615327091
63	0.1608868682
64	0.1603851929
65	0.1599593619
66	0.159693385
67	0.1594148176
68	0.1590464914
69	0.1587455137
70	0.15802053
71	0.1577192932
72	0.1571936758
73	0.156907075
74	0.1565844909
75	0.1563195268
76	0.1560570644
77	0.1558108023
78	0.1553946039
79	0.1551275907
80	0.1548051276
81	0.1543907613
82	0.154153708
83	0.153978828
84	0.1536657573
85	0.153273898
86	0.1530986081
87	0.152966839
88	0.1526149411
89	0.1523307233
90	0.1521014285
91	0.1514669902
92	0.1511961359
93	0.1509322535
94	0.1507146814
95	0.1504682162
96	0.1502455439
97	0.1500666889
98	0.1499456574
99	0.1497590374
100	0.1493530935
101	0.1491255069
102	0.1489770793
103	0.1487453748
104	0.1483830016
105	0.1481785343
106	0.1478471981
107	0.1476719122
108	0.1474117028
109	0.1469923422
110	0.1466385307
111	0.146426619
112	0.1462528347
113	0.1460240293
114	0.1458271212
115	0.1455938121
116	0.1454268579
117	0.1452865973
118	0.1451505638
119	0.1448865532
120	0.1447549955
121	0.144551021
122	0.1442918133
123	0.1441718317
124	0.1440392153
125	0.1437195667
126	0.1435948043
127	0.1434925959
128	0.1433351243
129	0.1431823844
130	0.1430973641
131	0.1429554554
132	0.1427860874
133	0.1426939093
134	0.1424752267
135	0.1423203125
136	0.1421993095
137	0.1420597059
138	0.1418586857
139	0.1417638842
140	0.1416880885
141	0.1415428006
142	0.1413649209
143	0.1412093674
144	0.1410932503
145	0.1410088999
146	0.1408168588
147	0.140747909
148	0.1405038281
149	0.140387477
150	0.1402676775
151	0.1401805355
152	0.1400832603
153	0.139975412
154	0.139855841
155	0.1397267411
156	0.1396593445
157	0.1395666962
158	0.1394712116
159	0.1393451563
160	0.1392722268
161	0.1391844632
162	0.139027255
163	0.1389436837
164	0.1388118713
165	0.1387290866
166	0.1386653097
167	0.1384552974
168	0.13835686
169	0.1382175733
170	0.138120456
171	0.1380479214
172	0.1379786219
173	0.1379112746
174	0.1378085521
175	0.1377021341
176	0.1376374748
177	0.1375865273
178	0.1374981726
179	0.1374227525
180	0.1372883195
181	0.1371834027
182	0.1370817328
183	0.1370330426
184	0.1369377746
185	0.1368853424
186	0.1367827463
187	0.1367349685
188	0.1366727663
189	0.1366050481
190	0.1365340987
191	0.1364830671
192	0.1363612535
193	0.1363148475
194	0.1362456561
195	0.1361535851
196	0.1360798757
197	0.1359926073
198	0.1358853691
199	0.1358426129
200	0.135654735
201	0.1355173254
202	0.1354387083
203	0.1353039212
204	0.1352546529
205	0.1351587672
206	0.1350957104
207	0.1350364666
208	0.1350003506
209	0.1349257354
210	0.1348898168
211	0.1347926377
212	0.1347156008
213	0.1346342711
214	0.1346002496
215	0.1344900254
216	0.1344430127
217	0.1343274687
218	0.1342520617
219	0.1341645947
220	0.1340707979
221	0.1339817846
222	0.1339319974
223	0.1338266474
224	0.1336566188
225	0.1335733989
226	0.1335221957
227	0.133459942
228	0.1334249017
229	0.1333786264
230	0.1333389974
231	0.1332821698
232	0.1332036552
233	0.1331752426
234	0.1331069209
235	0.1330618619
236	0.1329814631
237	0.1329071233
238	0.1328628284
239	0.1328181802
240	0.1327840799
241	0.1327141663
242	0.132639426
243	0.1325892525
244	0.1325392936
245	0.1324953343
246	0.1324378245
247	0.1323612693
248	0.1323258245
249	0.132277337
250	0.1322330186
251	0.1321339496
252	0.1321082333
253	0.132065425
254	0.1320236924
255	0.1319397936
256	0.1319168798
257	0.1318366437
258	0.1317893351
259	0.1317287096
260	0.1316924602
261	0.1316547326
262	0.1316068285
263	0.1315512514
264	0.1315262324
265	0.1314879904
266	0.1314118758
267	0.131372093
268	0.1312810395
269	0.1312087173
270	0.1311365467
271	0.1310406407
272	0.1309644974
273	0.1308637062
274	0.130836091
275	0.1307867251
276	0.1307192048
277	0.1306781258
278	0.1306265886
279	0.1305581654
280	0.1304879013
281	0.1304682435
282	0.1304030047
283	0.1303804534
284	0.130326746
285	0.1302874499
286	0.130236586
287	0.1302040007
288	0.1301650297
289	0.1301161783
290	0.1300885691
291	0.1300334547
292	0.1299897042
293	0.1298902493
294	0.1298646998
295	0.1298356501
296	0.1297815158
297	0.1297539357
298	0.1297124193
299	0.1296555838
300	0.1296159264
301	0.1295663958
302	0.1295234996
303	0.1294518819
304	0.1294272942
305	0.1293665507
306	0.1292710642
307	0.1292334377
308	0.129200429
309	0.1291755658
310	0.1291341495
311	0.129105699
312	0.1290326938
313	0.1290015882
314	0.1289523288
315	0.1289219773
316	0.128891945
317	0.1288099933
318	0.1287411579
319	0.128724103
320	0.128692159
321	0.1286543643
322	0.1285295293
323	0.1284992519
324	0.1284792032
325	0.1284480402
326	0.1284150603
327	0.1283646111
328	0.1283089851
329	0.1282745071
330	0.1282537979
331	0.1282150818
332	0.1281832569
333	0.1281381352
334	0.1281209472
335	0.1280959184
336	0.1280074807
337	0.1279930674
338	0.1279387835
339	0.127905468
340	0.1278703078
341	0.1278304775
342	0.1277963957
343	0.1277244755
344	0.1277063088
345	0.1276693868
346	0.1276349718
347	0.1275740849
348	0.1275565122
349	0.1275051074
350	0.1274669056
351	0.1273608711
352	0.1273331421
353	0.1272941681
354	0.1272791169
355	0.127228754
356	0.1272117877
357	0.1271350149
358	0.1270931073
359	0.1270525214
360	0.1270372533
361	0.1270217082
362	0.1269812553
363	0.1269515371
364	0.1268832356
365	0.1268758925
366	0.1268442962
367	0.1268104096
368	0.1267475725
369	0.1267244161
370	0.1266551023
371	0.1266236924
372	0.1265941367
373	0.1265740738
374	0.126509626
375	0.1264533318
376	0.126437216
377	0.126412291
378	0.126368706
379	0.1262920763
380	0.1262552338
381	0.1262351818
382	0.1261935941
383	0.1261652903
384	0.1261478769
385	0.1260997751
386	0.1260523621
387	0.1260218567
388	0.125992391
389	0.125913956
390	0.1258972803
391	0.1258730104
392	0.1258348742
393	0.1258047151
394	0.125761653
395	0.1257244759
396	0.1256751694
397	0.1256466898
398	0.1256136166
399	0.1255873706
400	0.1255318529
401	0.1255038574
402	0.1254675805
403	0.1254388699
404	0.1253972896
405	0.1253736658
406	0.1253399256
407	0.1253248055
408	0.1253021298
409	0.1252479043
410	0.1252237805
411	0.1251992874
412	0.1251785102
413	0.1251503381
414	0.1251108563
415	0.1250918872
416	0.1250481171
417	0.1250062666
418	0.1249753376
419	0.124953782
420	0.1249257819
421	0.1248904965
422	0.1248770583
423	0.1248513055
424	0.1248054702
425	0.1247628306
426	0.1247018901
427	0.1246839026
428	0.1246563222
429	0.1246355425
430	0.1245978753
431	0.1245796777
432	0.1245360194
433	0.1245114345
434	0.1244929064
435	0.1244555963
436	0.1244281272
437	0.1243639692
438	0.124347069
439	0.124323438
440	0.1243044522
441	0.1242601375
442	0.1242322321
443	0.1242120103
444	0.1242024842
445	0.1241675641
446	0.1241441051
447	0.1241205227
448	0.1240983901
449	0.1240849756
450	0.1240621311
451	0.124039366
452	0.1240005278
453	0.123931787
454	0.1238977252
455	0.1238663259
456	0.1238385055
457	0.1238014121
458	0.1237754854
459	0.1237495945
460	0.1237161334
461	0.1236704912
462	0.1236494619
463	0.123620226
464	0.1235905361
465	0.1235696621
466	0.1235351719
467	0.1235275632
468	0.1235010412
469	0.123471747
470	0.123440362
471	0.1234178615
472	0.1233824835
473	0.1233598009
474	0.1233395688
475	0.1233093347
476	0.1232913576
477	0.1232606636
478	0.1232439926
479	0.1232027058
480	0.1231846505
481	0.1231678919
482	0.1231508725
483	0.1231223099
484	0.1230974511
485	0.1230828782
486	0.1230567127
487	0.1230295052
488	0.1230176405
489	0.122992435
490	0.1229452867
491	0.1229302305
492	0.1228850854
493	0.122871158
494	0.1228462616
495	0.1228256647
496	0.1228054066
497	0.1227762345
498	0.122762452
499	0.1227499624
500	0.122725796
501	0.1226933923
502	0.1226730884
503	0.1226609666
504	0.1226215013
505	0.1226146971
506	0.1225971396
507	0.1225688541
508	0.12252848
509	0.1225077042
510	0.1224690016
511	0.122448048
512	0.1224360257
513	0.1224053295
514	0.1223867048
515	0.1223609891
516	0.1223318154
517	0.122313899
518	0.1222553317
519	0.1221976255
520	0.1221823884
521	0.1221589154
522	0.1221172763
523	0.1220955608
524	0.1220685599
525	0.1220451088
526	0.1220271668
527	0.122009402
528	0.1219883726
529	0.1219789963
530	0.1219520401
531	0.1219190374
532	0.1218981386
533	0.1218601308
534	0.1218414207
535	0.12180759
536	0.1217875288
537	0.1217734612
538	0.1217375614
539	0.1217190026
540	0.1216969213
541	0.1216737493
542	0.1216204505
543	0.1215846311
544	0.1215759149
545	0.1215515442
546	0.1215303469
547	0.1214883667
548	0.1214677177
549	0.1214607714
550	0.1214508542
551	0.121437197
552	0.1214097104
553	0.1213847043
554	0.1213591037
