iter	Logloss
0	0.5284300865
1	0.4242194373
2	0.3589203102
3	0.3202413335
4	0.2978130001
5	0.2771180198
6	0.2591597355
7	0.2427012729
8	0.2355861948
9	0.2301515497
10	0.224215659
11	0.2201500415
12	0.2166441768
13	0.2122358426
14	0.2072175698
15	0.2012688772
16	0.1985112717
17	0.1961195203
18	0.1937842466
19	0.1915709658
20	0.1894775298
21	0.1877892914
22	0.1864591459
23	0.1840814085
24	0.181522175
25	0.179239788
26	0.177704208
27	0.1764400356
28	0.1749201207
29	0.1736305339
30	0.1723315805
31	0.1710368782
32	0.169104043
33	0.1679012653
34	0.166819859
35	0.1658930864
36	0.1648089119
37	0.1633993378
38	0.1614304446
39	0.1604499627
40	0.1591952494
41	0.1585694792
42	0.1577335714
43	0.1566874942
44	0.1557884
45	0.1549272917
46	0.1543567798
47	0.1536163208
48	0.1526044528
49	0.1519572888
50	0.1513769726
51	0.1507652458
52	0.1500309957
53	0.1491919233
54	0.148708815
55	0.1478665632
56	0.1473601023
57	0.1470514511
58	0.1465997346
59	0.14610499
60	0.14532541
61	0.1450037191
62	0.1445568536
63	0.1439766968
64	0.1433970754
65	0.1430522028
66	0.1426130985
67	0.1421721915
68	0.1417309359
69	0.1414466441
70	0.140901963
71	0.1404948775
72	0.1402700216
73	0.1399539365
74	0.1395839489
75	0.1391835902
76	0.1387665724
77	0.1383032946
78	0.1379700316
79	0.1377794041
80	0.1373064034
81	0.1371104176
82	0.1368150376
83	0.1364572941
84	0.1362300929
85	0.1358033474
86	0.1354179817
87	0.1351253557
88	0.1345913104
89	0.1342577179
90	0.1338685047
91	0.1336883062
92	0.1333537648
93	0.13300798
94	0.1328374648
95	0.1325629604
96	0.13215931
97	0.1318861945
98	0.1316623122
99	0.1315368783
100	0.1313600641
101	0.1311353206
102	0.1308627716
103	0.130580122
104	0.1303114441
105	0.1300659616
106	0.1299230291
107	0.1295759818
108	0.1293583283
109	0.1291068003
110	0.1288502117
111	0.128663434
112	0.1284670164
113	0.1282799898
114	0.1280317136
115	0.1278383417
116	0.127691918
117	0.1275596529
118	0.127442174
119	0.1272842327
120	0.1270965821
121	0.1269920149
122	0.126851874
123	0.1266477205
124	0.1262727737
125	0.126117753
126	0.1257977061
127	0.1256241488
128	0.125399554
129	0.1252663082
130	0.1251685215
131	0.1249890313
132	0.124881346
133	0.1247664141
134	0.124637976
135	0.1245262405
136	0.1244156374
137	0.1243276861
138	0.1241823874
139	0.1240411754
140	0.1239041295
141	0.1237173393
142	0.1235224276
143	0.123340093
144	0.1232350657
145	0.1230179813
146	0.1228666348
147	0.1226744372
148	0.1224924756
149	0.1223120549
150	0.1221253365
151	0.1219740739
152	0.1218814175
153	0.121655611
154	0.1215320464
155	0.1213945939
156	0.1212926535
157	0.1211130989
158	0.1210124927
159	0.1209464249
160	0.1208309496
161	0.1206821443
162	0.1206124409
163	0.1205061191
164	0.1204361285
165	0.1203445121
166	0.1202874007
167	0.1201428932
168	0.1200483053
169	0.1199572525
170	0.1198706328
171	0.1197171663
172	0.1196509687
173	0.1194938732
174	0.1194046014
175	0.1192926975
176	0.1191189747
177	0.1190151337
178	0.1189387132
179	0.1188097293
180	0.1186944281
181	0.1185971187
182	0.1185282591
183	0.1184339726
184	0.1183339867
185	0.1182218178
186	0.1181624804
187	0.1181208284
188	0.118032266
189	0.1179611649
190	0.1178219779
191	0.1177063592
192	0.1176549912
193	0.1175707867
194	0.1174856976
195	0.117418474
196	0.1172550297
197	0.1171896394
198	0.1170312357
