iter	Passed	Remaining
399	28601	42902
400	28656	42805
401	28721	42724
402	28778	42631
403	28835	42539
404	28896	42452
405	28959	42369
406	29019	42281
407	29080	42195
408	29140	42107
409	29204	42025
410	29265	41940
411	29322	41847
412	29386	41767
413	29454	41691
414	29521	41614
415	29581	41527
416	29647	41450
417	29716	41375
418	29777	41290
419	29841	41210
420	29906	41130
421	29968	41047
422	30030	40963
423	30092	40881
424	30158	40802
425	30216	40714
426	30282	40636
427	30339	40546
428	30407	40472
429	30472	40394
430	30541	40319
431	30615	40253
432	30681	40176
433	30744	40095
434	30806	40012
435	30874	39938
436	30939	39860
437	30999	39776
438	31064	39697
439	31127	39616
440	31192	39538
441	31259	39463
442	31323	39383
443	31391	39309
444	31458	39234
445	31525	39159
446	31592	39083
447	31663	39013
448	31730	38938
449	31787	38851
450	31856	38779
451	31919	38698
452	31981	38618
453	32047	38541
454	32109	38460
455	32183	38394
456	32247	38316
457	32306	38232
458	32372	38156
459	32439	38081
460	32503	38003
461	32568	37926
462	32632	37848
463	32703	37778
464	32765	37698
465	32831	37622
466	32898	37547
467	32963	37470
468	33028	37394
469	33090	37314
470	33151	37234
471	33215	37155
472	33277	37077
473	33343	37000
474	33404	36921
475	33467	36842
476	33531	36765
477	33592	36684
478	33656	36607
479	33717	36527
480	33783	36452
481	33850	36378
482	33905	36292
483	33972	36218
484	34040	36145
485	34109	36074
486	34175	35999
487	34237	35921
488	34298	35841
489	34368	35770
490	34440	35703
491	34510	35632
492	34575	35557
493	34635	35476
494	34700	35401
495	34753	35314
496	34822	35243
497	34888	35168
498	34955	35095
499	35018	35018
500	35087	34947
501	35152	34872
502	35218	34798
503	35276	34716
504	35337	34638
505	35401	34562
506	35459	34480
507	35522	34403
508	35579	34321
509	35648	34250
510	35712	34175
511	35780	34103
512	35850	34033
513	35910	33954
514	35974	33878
515	36040	33805
516	36105	33730
517	36167	33654
518	36237	33584
519	36295	33503
520	36358	33427
521	36412	33342
522	36471	33263
523	36532	33186
524	36598	33112
525	36660	33036
526	36717	32954
527	36783	32881
528	36850	32810
529	36921	32741
530	36979	32662
531	37042	32586
532	37097	32504
533	37157	32426
534	37223	32353
535	37287	32278
536	37341	32195
537	37404	32120
538	37470	32047
539	37535	31974
540	37606	31906
541	37675	31836
542	37733	31757
543	37799	31684
544	37863	31610
545	37926	31535
546	37991	31463
547	38051	31385
548	38117	31313
549	38177	31236
550	38233	31156
551	38297	31081
552	38363	31009
553	38428	30936
554	38491	30862
555	38558	30791
556	38622	30717
557	38689	30646
558	38747	30567
559	38815	30498
560	38882	30426
561	38948	30355
562	39019	30286
563	39083	30213
564	39146	30139
565	39212	30067
566	39270	29989
567	39335	29917
568	39386	29834
569	39443	29755
570	39512	29686
571	39575	29612
572	39640	29540
573	39701	29465
574	39761	29388
575	39822	29313
576	39894	29247
577	39954	29171
578	40016	29096
579	40081	29024
580	40143	28950
581	40207	28877
582	40276	28808
583	40343	28738
584	40405	28663
585	40476	28595
586	40541	28524
587	40601	28448
588	40665	28376
589	40725	28300
590	40787	28227
591	40857	28158
592	40921	28085
593	40988	28015
594	41049	27940
595	41112	27868
596	41166	27788
597	41225	27713
598	41291	27642
599	41352	27568
600	41419	27497
601	41477	27422
602	41530	27342
603	41595	27271
604	41667	27204
605	41725	27128
606	41785	27053
607	41851	26983
608	41919	26913
609	41985	26842
610	42044	26768
611	42092	26686
612	42169	26622
613	42236	26552
614	42295	26477
615	42360	26406
616	42428	26337
617	42489	26263
618	42556	26193
619	42621	26123
620	42686	26051
621	42746	25977
622	42801	25900
623	42862	25827
624	42928	25757
625	42992	25685
626	43061	25616
627	43117	25541
628	43180	25468
629	43248	25400
630	43316	25330
631	43377	25257
632	43447	25190
633	43511	25118
634	43579	25049
635	43686	25002
636	43746	24929
637	43815	24860
638	43880	24790
639	43943	24718
640	44011	24649
641	44080	24580
642	44138	24506
643	44204	24435
644	44267	24364
645	44345	24300
646	44411	24230
647	44466	24154
648	44530	24083
649	44596	24013
650	44661	23942
651	44729	23874
652	44790	23801
653	44856	23731
654	44926	23663
655	44989	23591
656	45057	23523
657	45123	23453
658	45186	23382
659	45250	23310
660	45314	23239
661	45371	23165
662	45433	23093
663	45490	23019
664	45558	22950
665	45637	22887
666	45697	22814
667	45757	22741
668	45821	22671
669	45890	22602
670	45958	22534
671	46024	22464
672	46092	22395
673	46155	22324
674	46218	22253
675	46278	22180
676	46336	22107
677	46399	22036
678	46464	21966
679	46529	21896
680	46592	21825
681	46666	21759
682	46730	21688
683	46796	21619
684	46862	21549
685	46926	21479
686	46990	21409
687	47054	21338
688	47118	21268
689	47187	21200
690	47246	21127
691	47311	21057
692	47377	20988
693	47441	20918
694	47509	20849
695	47579	20781
696	47707	20739
697	47789	20676
698	47857	20608
699	47924	20539
700	47994	20471
701	48060	20401
702	48124	20331
703	48185	20259
704	48242	20186
705	48312	20118
706	48375	20048
707	48433	19975
708	48500	19906
709	48562	19835
710	48626	19765
711	48695	19697
712	48759	19627
713	48826	19557
714	48886	19486
715	48948	19415
716	49017	19347
717	49079	19276
718	49143	19206
719	49208	19136
720	49279	19069
721	49342	18998
722	49405	18928
723	49463	18856
724	49529	18787
725	49593	18717
726	49657	18647
727	49722	18577
728	49795	18511
729	49862	18442
730	49928	18373
731	49997	18305
732	50068	18237
733	50140	18170
734	50206	18101
735	50273	18032
736	50341	17964
737	50406	17895
738	50474	17826
739	50540	17757
740	50604	17687
741	50668	17617
